date,sku_id,signal_type,volume,source
2023-01-01,PB-BD-001,social,43612.5,YouTube
2023-01-01,PB-BD-001,search,34359.8,GoogleTrends
2023-01-02,PB-BD-001,social,40614.6,TikTok
2023-01-02,PB-BD-001,search,16352.8,GoogleTrends
2023-01-03,PB-BD-001,social,51574.6,YouTube
2023-01-03,PB-BD-001,search,32696.6,GoogleTrends
2023-01-04,PB-BD-001,social,38711.3,TikTok
2023-01-04,PB-BD-001,search,24099.3,GoogleTrends
2023-01-05,PB-BD-001,social,40356.0,YouTube
2023-01-05,PB-BD-001,search,36229.6,GoogleTrends
2023-01-06,PB-BD-001,social,32890.0,YouTube
2023-01-06,PB-BD-001,search,16696.8,GoogleTrends
2023-01-07,PB-BD-001,social,40249.1,Instagram
2023-01-07,PB-BD-001,search,16983.9,GoogleTrends
2023-01-08,PB-BD-001,social,39051.1,TikTok
2023-01-08,PB-BD-001,search,33528.6,GoogleTrends
2023-01-09,PB-BD-001,social,40694.6,Instagram
2023-01-09,PB-BD-001,search,26387.9,GoogleTrends
2023-01-10,PB-BD-001,social,38082.5,TikTok
2023-01-10,PB-BD-001,search,28410.2,GoogleTrends
2023-01-11,PB-BD-001,social,45976.0,Instagram
2023-01-11,PB-BD-001,search,18476.2,GoogleTrends
2023-01-12,PB-BD-001,social,35234.2,YouTube
2023-01-12,PB-BD-001,search,29602.6,GoogleTrends
2023-01-13,PB-BD-001,social,46524.0,TikTok
2023-01-13,PB-BD-001,search,33490.7,GoogleTrends
2023-01-14,PB-BD-001,social,32622.7,YouTube
2023-01-14,PB-BD-001,search,21331.5,GoogleTrends
2023-01-15,PB-BD-001,social,36543.1,TikTok
2023-01-15,PB-BD-001,search,25547.0,GoogleTrends
2023-01-16,PB-BD-001,social,40611.8,TikTok
2023-01-16,PB-BD-001,search,19294.7,GoogleTrends
2023-01-17,PB-BD-001,social,45306.4,Instagram
2023-01-17,PB-BD-001,search,40294.3,GoogleTrends
2023-01-18,PB-BD-001,social,40112.1,Instagram
2023-01-18,PB-BD-001,search,29611.8,GoogleTrends
2023-01-19,PB-BD-001,social,43119.4,TikTok
2023-01-19,PB-BD-001,search,22412.7,GoogleTrends
2023-01-20,PB-BD-001,social,56038.3,Instagram
2023-01-20,PB-BD-001,search,28439.5,GoogleTrends
2023-01-21,PB-BD-001,social,36039.4,TikTok
2023-01-21,PB-BD-001,search,30166.4,GoogleTrends
2023-01-22,PB-BD-001,social,47563.6,Instagram
2023-01-22,PB-BD-001,search,41498.0,GoogleTrends
2023-01-23,PB-BD-001,social,42672.8,Instagram
2023-01-23,PB-BD-001,search,20172.7,GoogleTrends
2023-01-24,PB-BD-001,social,41983.4,TikTok
2023-01-24,PB-BD-001,search,20583.5,GoogleTrends
2023-01-25,PB-BD-001,social,45430.2,TikTok
