date,city,category,day_of_year,month,median_income,median_home_price,affordability_ratio,income_velocity_30d,price_velocity_30d,rolling_units_30d,extra_units_sold
2023-01-01,City_A,Luxury,1,1,44467.15448146261,328634.4921562228,7.390499706771734,0.0,0.0,9.75328328258406,0.0
2023-01-01,City_A,Standard,1,1,44467.15448146261,328634.4921562228,7.390499706771734,0.0,0.0,6.842599682856562,0.0
2023-01-02,City_A,Luxury,2,1,63838.31209161563,364393.6109766325,5.7080708909359,0.0,0.0,6.269639108183771,4.068638832803644
2023-01-02,City_A,Standard,2,1,63838.31209161563,364393.6109766325,5.7080708909359,0.0,0.0,7.822203908141134,0.0
2023-01-03,City_A,Luxury,3,1,45438.646037027924,354522.1573496451,7.802216577068455,0.0,0.0,18.32013269003957,2.1842622966632605
2023-01-03,City_A,Standard,3,1,45438.646037027924,354522.1573496451,7.802216577068455,0.0,0.0,15.863147462200399,4.76820493749195
2023-01-04,City_A,Luxury,4,1,45412.728650881996,332128.3470606682,7.313551881322985,0.0,0.0,10.494927870481376,0.0
2023-01-04,City_A,Standard,4,1,45412.728650881996,332128.3470606682,7.313551881322985,0.0,0.0,12.43286934967767,3.301482074132929
2023-01-05,City_A,Luxury,5,1,47314.79639191961,345281.8406764472,7.297544679605008,0.0,0.0,12.524447133846412,1.9292141497398374
2023-01-05,City_A,Standard,5,1,47314.79639191961,345281.8406764472,7.297544679605008,0.0,0.0,16.097986993143763,1.7665387101678278
2023-01-06,City_A,Luxury,6,1,46391.98931429766,321332.0244285,6.926454958668217,0.0,0.0,12.65103783426062,0.47273826734284885
2023-01-06,City_A,Standard,6,1,46391.98931429766,321332.0244285,6.926454958668217,0.0,0.0,17.945815896739237,0.0
2023-01-07,City_A,Luxury,7,1,46976.60750905915,318578.46455554647,6.781640511058841,0.0,0.0,12.883245052253443,3.117269766209639
2023-01-07,City_A,Standard,7,1,46976.60750905915,318578.46455554647,6.781640511058841,0.0,0.0,9.81322098554965,2.0686439936621075
2023-01-08,City_A,Luxury,8,1,46064.3123158481,336988.61155375687,7.315611470396754,0.0,0.0,12.193116876593425,3.171725057234422
2023-01-08,City_A,Standard,8,1,46064.3123158481,336988.61155375687,7.315611470396754,0.0,0.0,8.986991328930088,3.410681165917171
2023-01-09,City_A,Luxury,9,1,46862.577564360465,325721.16661911807,6.950560202792447,0.0,0.0,7.266365714080788,0.0
2023-01-09,City_A,Standard,9,1,46862.577564360465,325721.16661911807,6.950560202792447,0.0,0.0,18.840137427863617,3.736246945578597
2023-01-10,City_A,Luxury,10,1,44647.17092327776,332683.21619735943,7.451384025407709,0.0,0.0,6.938715409838391,1.2682674386112454
2023-01-10,City_A,Standard,10,1,44647.17092327776,332683.21619735943,7.451384025407709,0.0,0.0,15.549579602950672,1.7013906653559814
2023-01-11,City_A,Luxury,11,1,46440.89057378476,333220.07849625865,7.175144024571242,0.0,0.0,18.368939733730976,3.1265622695340536
2023-01-11,City_A,Standard,11,1,46440.89057378476,333220.07849625865,7.175144024571242,0.0,0.0,6.927559677518145,2.3496746120709946
2023-01-12,City_A,Luxury,12,1,45819.26999361423,326437.1728294185,7.124451630829422,0.0,0.0,6.316008908940484,2.3942366702454008
2023-01-12,City_A,Standard,12,1,45819.26999361423,326437.1728294185,7.124451630829422,0.0,0.0,17.465592906606922,2.3752757087285072
2023-01-13,City_A,Luxury,13,1,47260.36710340615,353017.1655988323,7.469623856844516,0.0,0.0,16.984473538006185,0.0
2023-01-13,City_A,Standard,13,1,47260.36710340615,353017.1655988323,7.469623856844516,0.0,0.0,18.93206029996685,0.8056114974295363
2023-01-14,City_A,Luxury,14,1,45049.11391280228,332526.379216455,7.3814188634231055,0.0,0.0,9.60500274272501,5.194846725652485
2023-01-14,City_A,Standard,14,1,45049.11391280228,332526.379216455,7.3814188634231055,0.0,0.0,9.400341199909814,0.373553936733398
2023-01-15,City_A,Luxury,15,1,47116.99713709023,331525.77114490455,7.036224532312764,0.0,0.0,17.28695332341502,4.741033671289308
2023-01-15,City_A,Standard,15,1,47116.99713709023,331525.77114490455,7.036224532312764,0.0,0.0,11.87565558707991,5.8246878635939074
2023-01-16,City_A,Luxury,16,1,44041.30372529283,358332.91713923076,8.136292226368424,0.0,0.0,9.155683944251336,0.0
2023-01-16,City_A,Standard,16,1,44041.30372529283,358332.91713923076,8.136292226368424,0.0,0.0,13.75631283174605,0.0
2023-01-17,City_A,Luxury,17,1,45127.077177826344,332773.01909399906,7.374131893866827,0.0,0.0,9.223614287832953,2.873967288654207
2023-01-17,City_A,Standard,17,1,45127.077177826344,332773.01909399906,7.374131893866827,0.0,0.0,16.521298119615743,3.6024889093220973
2023-01-18,City_A,Luxury,18,1,45367.099395714235,365179.1055364261,8.04942591438685,0.0,0.0,17.53976673640212,2.2237141026893634
2023-01-18,City_A,Standard,18,1,45367.099395714235,365179.1055364261,8.04942591438685,0.0,0.0,12.569636564885846,1.7382393893092354
2023-01-19,City_A,Luxury,19,1,44924.228790644476,336662.39021233254,7.4940048894605145,0.0,0.0,18.282857581297954,3.050357963177195
2023-01-19,City_A,Standard,19,1,44924.228790644476,336662.39021233254,7.4940048894605145,0.0,0.0,15.175401346743529,0.0
2023-01-20,City_A,Luxury,20,1,46858.987118534904,338582.08613057557,7.225552811760428,0.0,0.0,9.29279370026201,0.6631301331336306
2023-01-20,City_A,Standard,20,1,46858.987118534904,338582.08613057557,7.225552811760428,0.0,0.0,12.514080376248417,0.0
2023-01-21,City_A,Luxury,21,1,47371.48268481404,340103.7408876998,7.179503819852519,0.0,0.0,19.2671934710812,1.1861216573728308
2023-01-21,City_A,Standard,21,1,47371.48268481404,340103.7408876998,7.179503819852519,0.0,0.0,5.815492676602757,5.018221937482183
2023-01-22,City_A,Luxury,22,1,47868.64125642583,340941.88604011177,7.122447537496046,0.0,0.0,7.527808882156391,4.674868215830836
2023-01-22,City_A,Standard,22,1,47868.64125642583,340941.88604011177,7.122447537496046,0.0,0.0,10.71043303516016,1.6243256007698625
2023-01-23,City_A,Luxury,23,1,43518.1992670559,370665.23752495786,8.517476452789683,0.0,0.0,13.077449761175895,4.186718065794556
2023-01-23,City_A,Standard,23,1,43518.1992670559,370665.23752495786,8.517476452789683,0.0,0.0,19.266683014643995,0.0
2023-01-24,City_A,Luxury,24,1,47592.936610738536,341320.44799575506,7.171661853678134,0.0,0.0,6.155479999761709,0.0
2023-01-24,City_A,Standard,24,1,47592.936610738536,341320.44799575506,7.171661853678134,0.0,0.0,7.584677559461744,0.0
2023-01-25,City_A,Luxury,25,1,47624.27342481847,349811.1440172622,7.345227944936266,0.0,0.0,6.7377072889600775,0.0
2023-01-25,City_A,Standard,25,1,47624.27342481847,349811.1440172622,7.345227944936266,0.0,0.0,6.204746719178676,4.160651081800884
2023-01-26,City_A,Luxury,26,1,46410.594602685575,337801.84761162597,7.278550307392073,0.0,0.0,18.304806042849798,3.2622894185697096
2023-01-26,City_A,Standard,26,1,46410.594602685575,337801.84761162597,7.278550307392073,0.0,0.0,9.233428941771667,0.46828071478108035
2023-01-27,City_A,Luxury,27,1,44683.7689003733,342931.3188547818,7.67462833359871,0.0,0.0,17.193572461291986,2.647298882977246
2023-01-27,City_A,Standard,27,1,44683.7689003733,342931.3188547818,7.67462833359871,0.0,0.0,6.471783108507687,1.035381946204215
2023-01-28,City_A,Luxury,28,1,47650.497121116736,403379.32155603427,8.465374884352952,0.0,0.0,11.70373681785415,0.48036474239787563
2023-01-28,City_A,Standard,28,1,47650.497121116736,403379.32155603427,8.465374884352952,0.0,0.0,9.284974832700843,3.0881923619052505
2023-01-29,City_A,Luxury,29,1,50433.35270324913,335588.8788352919,6.65410607956016,0.0,0.0,17.971504881382963,0.0
2023-01-29,City_A,Standard,29,1,50433.35270324913,335588.8788352919,6.65410607956016,0.0,0.0,19.76701059638924,6.942494089822462
2023-01-30,City_A,Luxury,30,1,47328.51504087187,318913.12984475255,6.738287258101087,0.0,0.0,13.354341947911031,0.0
2023-01-30,City_A,Standard,30,1,47328.51504087187,318913.12984475255,6.738287258101087,0.0,0.0,10.731722967642778,4.430467097968865
2023-01-31,City_A,Luxury,31,1,42875.429238845136,337187.54426220886,7.864353786030834,-0.03579552730951179,0.026026032903205387,13.916140757136096,1.7952287447491642
2023-01-31,City_A,Standard,31,1,42875.429238845136,337187.54426220886,7.864353786030834,-0.03579552730951179,0.026026032903205387,7.952176241904606,1.6391260587607257
2023-02-01,City_A,Luxury,32,2,44329.98520100477,332854.9085070863,7.508572515822584,-0.3055896412582788,-0.08655119497023431,5.238400897100054,6.776893633093682
2023-02-01,City_A,Standard,32,2,44329.98520100477,332854.9085070863,7.508572515822584,-0.3055896412582788,-0.08655119497023431,10.759088345558883,4.88722761425579
2023-02-02,City_A,Luxury,33,2,45256.32442000632,322712.13010745554,7.13076314179848,-0.004012479088241977,-0.08972648558836659,9.030912041971863,0.21401196963880698
2023-02-02,City_A,Standard,33,2,45256.32442000632,322712.13010745554,7.13076314179848,-0.004012479088241977,-0.08972648558836659,12.779225474530012,2.74335275370185
